id,title,categoryId,playlistId,duration,views,uploadedDate
A2bFN3MyNDA,Lecture 1 - Introduction to Algorithms,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M1S,51157,2017-03-20T23:02:15Z
Cj73t5DGDWM,Lecture 2 - Asymptotic Notation,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M,12571,2017-03-20T23:06:47Z
Ebk3l5bG5Tk,Lecture 3 - Program Analysis,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H13M53S,5336,2017-03-03T21:49:28Z
keb4uAM4bFw,Lecture 4 - Elementary Data Structures,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H17M53S,5205,2017-03-03T21:49:28Z
ITO0rlNqTd0,Lecture 5 - Dictionaries,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H18M25S,3200,2017-03-03T21:49:28Z
hfCW4KdD9DY,Lecture 6 - Hashing,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H8M41S,2910,2017-03-03T21:49:29Z
sU0r4AXgRyk,Lecture 7 - Heapsort / Priority Queues,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M,2155,2017-03-03T21:49:29Z
kVVR_-E9Qj4,Lecture 8 - Mergesort / Quicksort,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H7M34S,1686,2017-03-03T21:49:30Z
nZh57Flly_U,Lecture 9 - Linear Sorting,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT55M24S,1158,2017-03-03T21:49:30Z
PsJS89WFUAA,Lecture 10 - Graph Data Structures,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H19M50S,3029,2017-03-03T21:49:31Z
SSaKPE7CV70,Lecture 11 - Breadth-First Search,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H12M47S,1920,2017-03-03T21:49:31Z
